question,page,short answer,long answer,ref_url,code_sample_url,picture_url
Jak dopisać custom metody do CustomRepo implements CrudRepository<> ?,,,"Trzeba zrobić abstract klase. Interface jak się zrobi, to hibernate próbuje nadpisać metody i jest lipa. Przykład w projekcie songmate.",https://stackoverflow.com/questions/22866473/how-to-implement-only-specific-method-of-crudrepository-in-spring,,
Czym jest JPA?,,,"JPA należy rozumieć, jako zbiór interfejsów, które muszą być zaimplementowane, aby przeprowadzać operacje na bazach danych z poziomu kodu Javy. JPA samo w sobie nie jest w stanie wykonywać operacji na bazach danych",https://it-leaders.com.pl/rozmowa-kwalifikacyjna-javy-zaden-problem-cz-viii-jpa/,,
Co to JPQL?,,,"To część specyfikacji JPA. Ma składnie podobną do SQL, ale to nie to samo.",https://www.tutorialspoint.com/jpa/jpa_jpql.htm,,https://it-leaders.com.pl/rozmowa-kwalifikacyjna-javy-zaden-problem-cz-viii-jpa/
RDBMS,,,Relational Database Management System,,,
JDBC Architecture,,,Two layers: JDBC API and JDBC Driver API:,https://www.tutorialspoint.com/jdbc/jdbc-introduction.htm,,https://www.tutorialspoint.com/jdbc/images/jdbc-architecture.jpg
JDBC API,,,application-to-JDBC Manager connection,https://www.tutorialspoint.com/jdbc/jdbc-introduction.htm,,
JDBC Driver API,,,JDBC Manager-to-Driver Connection,,,
Gdzie znajduje sie JDBC API?,,java.sql - Defines the JDBC API.,java.sql and javax.sql are the primary packages for JDBC 4.0. Javax to paczki z Javy EE. Od JDBC 3 javax.sql jest czescia paczki java.sql wiec wyjebongo. Nadal jest javax.sql zeby bylo backward compatibile,https://www.tutorialspoint.com/jdbc/jdbc-introduction.htm,,https://stackoverflow.com/questions/18212727/difference-between-javax-sql-and-java-sql
Co robi Driver Manager?,,Makes a connection with a driver,,https://docs.oracle.com/en/java/javase/15/docs/api/java.sql/java/sql/package-summary.html,,
Czy driver manager jest klasą?,,Tak,,https://docs.oracle.com/en/java/javase/15/docs/api/java.sql/java/sql/package-summary.html,,
Jaka jest obecnie najnowsza wersja JDBC?,,JDBC 4.3,,https://docs.oracle.com/en/java/javase/15/docs/api/java.sql/java/sql/package-summary.html,,
