question,page,short answer,long answer,ref_url,code_sample_url,picture_url
Co zwróci funkcja?,,TRUE,,,console.log(undefined == null),
Co zwróci funkcja?,,FALSE,,,console.log(undefined === null),
Co to funkcja wyższego rzędu (ang. higher-order function)?,,"Funkcja, która w argumencie przyjmuje inną funkcję.",,,,
Jak jest zrobiony polimorfizm w js?,,"Obiekty mają property prototype, gdzie jest referencja do rodzica.","""Each object has a private property which holds a link to another object called its prototype. That prototype object has a prototype of its own, and so on until an object is reached with null as its prototype. """,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Inheritance_and_the_prototype_chain,,
Czy wszystkie obiekty dziedzicza po Object?,,nie ,Nearly all objects in JavaScript are instances of Object which sits on the top of a prototype chain.,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Inheritance_and_the_prototype_chain,,
,,,,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Inheritance_and_the_prototype_chain,,
,,,,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Inheritance_and_the_prototype_chain,,
,,,,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Inheritance_and_the_prototype_chain,,
,,,,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Inheritance_and_the_prototype_chain,,
,,,,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Inheritance_and_the_prototype_chain,,
,,,,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Inheritance_and_the_prototype_chain,,
,,,,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Inheritance_and_the_prototype_chain,,
,,,,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Inheritance_and_the_prototype_chain,,
,,,,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Inheritance_and_the_prototype_chain,,
,,,,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Inheritance_and_the_prototype_chain,,
Co to prototype-based inheritance?,,dziedziczenie w Java Scripcie,,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Guide/Details_of_the_Object_Model,,
,,,,,,
Czy w JS jest cos takiego jak instancja?,,,"Formalnie nie, bo nie ma rozroznienia na klasy i instancje, sa tylko obiekty. O obiektach, ktore zostaly stworzone za pomoca pewnej funkcji prototypowej mozemy powiedziec nieformalnie, ze to jest instancja.",https://developer.mozilla.org/en-US/docs/Web/JavaScript/Guide/Details_of_the_Object_Model,,instancje.png
,,,,,,
,,,,,,
,,,,,,
,,,DOCZYTAC,https://www.udemy.com/course/javascript-the-complete-guide-2020-beginner-advanced/learn/lecture/16156025#overview,,
,,,,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Guide/Details_of_the_Object_Model,,
,,,,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Inheritance_and_the_prototype_chain,,
Czy  new Employee to to samo co new Employee(),,tak,,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Guide/Details_of_the_Object_Model#object_properties,,
Jaka jest różnica między __proto__ [[Prototype]] i prototype?,,,,https://stackoverflow.com/questions/9451881/prototype-vs-prototype-what-is-the-difference-mycons-proto-myco,,
W czym jest __proto__ a w czym jest prototype?,,"__proto__ w obiekcie, prototype w funkcji",,https://stackoverflow.com/questions/9451881/prototype-vs-prototype-what-is-the-difference-mycons-proto-myco,,
[[prototype]] vs __proto__,,"chyba mozna powiedziec, ze to to samo","[[Prototype]] to podobno link miedzy instancja p1 i Person.prototype, czyli p1.__proto__ albo Object.getPrototypeOf(p1)",https://www.javascripttutorial.net/javascript-prototype/,,
p1.__proto__ albo Object.getPrototypeOf(p1),,,,https://www.javascripttutorial.net/javascript-prototype/,,
czy __proto__ jest dla funkcji czy dla obiektu?,,"funkcje to tez obiekty, kazdy obiekt ma swoje __proto__",,https://www.javascripttutorial.net/javascript-prototype/,,
czy jak wrzucimy do Person.prototype.kolor = 5 to czy instancje to dostana?,,,,,,
